OBS,AGE,GENDER,CHK_ACCT,SAV_ACCT,NUM_CREDITS,DURATION,HISTORY,PRESENT_RESIDENT,EMPLOYMENT,JOB,NUM_DEPENDENTS,RENT,INSTALL_RATE,GUARANTOR,OTHER_INSTALL,OWN_RES,TELEPHONE,FOREIGN,REAL_ESTATE,TYPE,AMOUNT_REQUESTED,CREDIT_EXTENDED,NPV,IsProfitable,Predicted,MySample,,,,
836,28,male,3,0,1,12,2,2,2,2,1,0,4,0,0,1,0,0,1,4,776,543,104,1,0.861888211,T,,,,
679,40,male,3,2,1,22,2,4,4,2,1,0,3,0,0,1,0,0,0,4,2675,1605,289,1,0.910753779,T,,,,
129,50,female,3,0,1,12,2,2,2,2,1,0,4,0,0,1,0,0,1,3,1574,1416,446,1,0.841594867,T,,,,
930,32,female,1,3,2,21,4,2,3,2,1,0,3,0,0,1,1,0,0,3,2745,1647,171,1,0.896264224,T,,,,
509,29,male,3,0,2,12,4,2,2,3,1,0,4,1,0,1,1,0,1,6,1412,988,181,1,0.962123342,T,,,NPV,
471,32,male,1,0,1,27,2,1,1,2,2,0,4,0,0,1,1,0,0,6,2528,1769,424,1,0.48749911,T,,CUTOFF,0,
299,28,male,2,1,1,21,2,1,2,3,1,0,1,0,1,1,1,0,0,1,2923,1753,357,1,0.897023758,T,,Test,229725,257
270,29,male,1,1,1,24,2,1,1,2,1,0,2,0,0,1,0,0,0,4,2896,2027,390,1,0.713394872,T,,Validation,109278,36
978,67,male,1,0,1,18,2,4,0,2,1,0,2,0,0,1,1,0,0,0,3872,3872,1149,1,0.633153586,T,,,,
187,28,female,3,0,1,18,3,2,2,2,1,0,4,0,0,1,1,0,0,6,2169,1952,-1355,0,0.855402134,T,,,,
307,25,male,1,0,1,48,0,2,2,2,1,0,2,0,0,1,1,0,0,6,14421,10094,-7360,0,0.070942834,T,,,,
597,26,male,1,4,1,30,2,1,2,2,1,0,4,0,0,1,0,0,0,4,1715,1029,240,1,0.864031301,T,,,,
277,24,male,0,0,1,12,2,3,2,1,1,0,4,0,0,1,0,0,0,4,2214,1328,266,1,0.513721836,T,,,,
874,45,female,3,0,2,6,4,3,3,3,2,0,1,0,0,1,1,0,0,1,6761,6084,1037,1,0.943708856,T,,,,
950,28,female,2,1,2,6,4,4,4,2,2,0,2,0,0,1,1,0,0,1,1323,1058,166,1,0.900330902,T,,,,
494,23,female,0,0,1,12,2,1,2,2,1,0,4,0,1,1,0,0,0,4,1498,1498,439,1,0.533461778,T,,,,
330,56,male,2,0,1,42,4,4,4,2,1,0,4,0,0,0,0,0,0,2,4796,3357,764,1,0.889182662,T,,,,
775,37,male,0,0,1,12,2,1,1,1,1,0,3,0,0,1,0,0,1,1,1274,637,-268,0,0.428156223,T,,,,
841,26,male,3,2,1,24,2,2,4,3,1,0,3,0,0,1,1,0,0,4,3235,1617,258,1,0.878538379,T,,,,
591,20,male,0,0,1,12,2,2,2,3,2,1,2,0,0,0,1,0,1,4,1107,885,208,1,0.6584615,T,,,,
725,35,male,3,1,1,6,0,1,2,2,1,1,4,0,1,0,0,1,0,1,1204,722,147,1,0.889587128,T,,,,
37,61,male,1,4,1,18,2,4,2,2,1,0,4,0,0,0,0,0,0,5,1239,867,194,1,0.678423796,T,,,,
105,26,male,1,2,1,12,2,1,2,2,1,0,3,0,0,1,1,0,0,4,1158,926,253,1,0.888609273,T,,,,
729,31,female,1,1,1,48,3,4,0,3,1,0,2,0,0,0,1,0,0,0,7582,6065,1366,1,0.234218708,T,,,,
878,38,male,3,3,2,36,4,2,4,3,1,0,4,0,0,1,1,0,0,2,5711,4568,987,1,0.95547302,T,,,,
485,47,male,3,0,3,18,2,4,4,2,2,0,4,0,1,1,1,0,0,3,3422,3079,322,1,0.658324046,T,,,,
677,31,male,0,0,1,30,2,4,1,1,1,0,2,0,0,1,0,0,0,3,3108,2797,-1444,0,0.33436447,T,,,,
802,44,male,1,0,1,24,2,2,4,3,1,0,4,0,0,0,1,0,0,2,12579,10063,-3320,0,0.280260325,T,,,,
987,24,male,0,0,1,12,2,4,4,2,1,1,4,0,0,0,0,0,0,3,652,456,112,1,0.389453848,T,,,,
382,54,female,0,0,1,48,2,4,2,2,1,0,3,0,0,1,0,0,0,0,3051,1830,-555,0,0.431563227,T,,,,
601,53,male,3,2,1,24,2,4,4,2,1,0,3,0,0,1,0,0,0,3,2835,1984,411,1,0.900371451,T,,,,
940,43,male,3,3,2,24,4,1,2,1,1,0,4,0,0,1,0,0,1,4,1516,1061,172,1,0.986292126,T,,,,
801,61,male,3,3,1,12,2,4,3,1,1,0,2,0,0,1,0,0,1,4,3059,2447,540,1,0.992159589,T,,,,
852,43,male,0,1,1,6,2,2,4,2,1,0,3,0,0,1,1,0,0,1,1203,842,162,1,0.523350466,T,,,,
931,22,female,1,0,1,9,2,4,2,1,1,1,4,0,0,0,0,0,1,1,276,220,50,1,0.343494789,T,,,,
326,35,male,3,1,2,24,3,3,2,2,1,0,2,0,0,1,0,0,0,3,4151,2490,413,1,0.904147912,T,,,,
984,46,male,3,0,2,24,4,3,4,2,1,0,4,0,0,1,0,0,1,4,2611,2349,482,1,0.93532469,T,,,,
554,33,male,2,0,1,21,4,1,1,2,1,1,2,0,0,0,0,0,0,5,2319,1159,-874,0,0.782138885,T,,,,
422,51,male,3,4,1,36,4,2,4,2,1,0,4,0,0,1,1,0,0,4,3342,2673,725,1,0.971543325,T,,,,
111,24,male,1,0,1,36,2,4,3,2,1,1,4,0,0,0,0,0,0,4,2323,1393,296,1,0.496127744,T,,,,
404,33,female,2,0,1,12,2,1,1,3,1,0,4,0,1,1,1,0,0,3,1474,1474,454,1,0.740681504,T,,,,
924,39,male,0,0,1,30,2,3,4,2,2,0,1,1,0,1,0,0,0,4,2522,1765,376,1,0.794433703,T,,,,
532,31,female,0,0,1,36,1,4,4,2,1,0,4,0,1,1,0,0,0,3,2746,2196,-989,0,0.081772612,T,,,,
506,26,female,3,4,1,6,1,2,2,1,2,0,1,1,1,1,0,0,1,1,783,626,163,1,0.887078714,T,,,,
556,22,male,1,0,1,12,2,1,1,2,1,0,2,0,1,1,0,0,0,4,1331,798,-277,0,0.676510871,T,,,,
889,34,male,3,0,2,36,4,4,4,3,1,0,4,0,0,1,1,0,0,1,6614,3307,261,1,0.604840674,T,,,,
343,34,male,3,1,2,21,3,3,3,3,1,0,4,0,0,1,0,0,1,3,1591,1431,249,1,0.943462471,T,,,,
582,54,female,1,0,1,36,3,2,2,2,1,1,2,0,0,0,0,0,0,1,7432,4459,801,1,0.223451622,T,,,,
121,27,male,0,0,1,12,2,3,2,1,1,0,4,0,0,1,0,0,1,1,1168,934,251,1,0.35341936,T,,,,
40,30,male,3,0,1,18,2,2,2,3,1,0,2,0,0,1,1,0,0,1,1820,1820,542,1,0.808583609,T,,,,
684,21,male,3,4,1,12,2,2,2,2,1,0,4,0,0,1,0,0,0,4,886,797,197,1,0.935171523,T,,,,
